稳定央视频道,#genre#

CCTV1,http://112.27.235.94:8000/hls/1/index.m3u8 
CCTV2,http://112.27.235.94:8000/hls/2/index.m3u8
CCTV3,http://112.27.235.94:8000/hls/3/index.m3u8 
CCTV4,http://112.27.235.94:8000/hls/4/index.m3u8 
CCTV5,http://112.27.235.94:8000/hls/5/index.m3u8 
CCTV5+,http://112.27.235.94:8000/hls/6/index.m3u8
CCTV6,http://112.27.235.94:8000/hls/7/index.m3u8 
CCTV7,http://112.27.235.94:8000/hls/8/index.m3u8 
CCTV8,http://112.27.235.94:8000/hls/9/index.m3u8 
CCTV9,http://112.27.235.94:8000/hls/10/index.m3u8
CCTV10,http://112.27.235.94:8000/hls/11/index.m3u8 
CCTV11,http://112.27.235.94:8000/hls/12/index.m3u8 
CCTV12,http://112.27.235.94:8000/hls/13/index.m3u8 
CCTV13,http://112.27.235.94:8000/hls/14/index.m3u8 
CCTV14,http://112.27.235.94:8000/hls/15/index.m3u8 
CCTV15,http://112.27.235.94:8000/hls/16/index.m3u8 
CGTN,http://112.27.235.94:8000/hls/17/index.m3u8 
合肥新闻,http://112.27.235.94:8000/hls/18/index.m3u8 
合肥生活,http://112.27.235.94:8000/hls/19/index.m3u8 
合肥科创,http://112.27.235.94:8000/hls/20/index.m3u8 
肥西县综合,http://112.27.235.94:8000/hls/21/index.m3u8 
安徽经济,http://112.27.235.94:8000/hls/22/index.m3u8 
安徽公共,http://112.27.235.94:8000/hls/23/index.m3u8 
安徽影视,http://112.27.235.94:8000/hls/24/index.m3u8 
安徽综艺体育,http://112.27.235.94:8000/hls/25/index.m3u8 
安徽卫视,http://112.27.235.94:8000/hls/26/index.m3u8 
北京卫视,http://112.27.235.94:8000/hls/27/index.m3u8 
上海卫视,http://112.27.235.94:8000/hls/28/index.m3u8 
浙江卫视,http://112.27.235.94:8000/hls/29/index.m3u8 
广东卫视,http://112.27.235.94:8000/hls/30/index.m3u8 
湖南卫视,http://112.27.235.94:8000/hls/31/index.m3u8 
江苏卫视,http://112.27.235.94:8000/hls/32/index.m3u8 
深圳卫视,http://112.27.235.94:8000/hls/33/index.m3u8 
山东卫视,http://112.27.235.94:8000/hls/34/index.m3u8 
四川卫视,http://112.27.235.94:8000/hls/35/index.m3u8 
重庆卫视,http://112.27.235.94:8000/hls/36/index.m3u8 
河南卫视,http://112.27.235.94:8000/hls/37/index.m3u8 
东南卫视,http://112.27.235.94:8000/hls/38/index.m3u8 
河北卫视,http://112.27.235.94:8000/hls/39/index.m3u8 
云南卫视,http://112.27.235.94:8000/hls/40/index.m3u8 
湖北卫视,http://112.27.235.94:8000/hls/41/index.m3u8 
天津卫视,http://112.27.235.94:8000/hls/42/index.m3u8 
陕西卫视,http://112.27.235.94:8000/hls/43/index.m3u8 
江西卫视,http://112.27.235.94:8000/hls/44/index.m3u8 
山西卫视,http://112.27.235.94:8000/hls/45/index.m3u8 
贵州卫视,http://112.27.235.94:8000/hls/46/index.m3u8 
辽宁卫视,http://112.27.235.94:8000/hls/47/index.m3u8 
黑龙江卫视,http://112.27.235.94:8000/hls/48/index.m3u8 
内蒙古卫视,http://112.27.235.94:8000/hls/49/index.m3u8 
重温经典,http://112.27.235.94:8000/hls/50/index.m3u8



CCTV1,http://58.57.40.22:9901/tsfile/live/0001_1.m3u8
CCTV1,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225812/index.m3u8
CCTV1,http://iptv.huuc.edu.cn/hls/cctv1hd.m3u8
CCTV1,http://3501776.xyz:35455/gaoma/cctv1.m3u8
CCTV1,http://play.kankanlive.com/live/1661761962676984.m3u8
CCTV2,http://58.57.40.22:9901/tsfile/live/1001_1.m3u8
CCTV2,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225923/index.m3u8
CCTV2,http://iptv.huuc.edu.cn/hls/cctv2hd.m3u8
CCTV2,http://112.123.206.32:808/hls/2/index.m3u8
CCTV2,http://183.11.239.36:808/hls/20/index.m3u8
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV3,http://iptv.huuc.edu.cn/hls/cctv3hd.m3u8
CCTV3,http://36.105.100.208:35455/gaoma/cctv3.m3u8
CCTV3,http://58.17.48.228:808/hls/3/index.m3u8
CCTV3,http://112.46.85.60:8009/hls/3/index.m3u8
CCTV4,http://fjcm-2118.live.iptv.darwinchow.com/PLTV/88888888/224/3221225802/index.m3u8
CCTV4,http://iptv.huuc.edu.cn/hls/cctv4hd.m3u8
CCTV4,http://112.46.85.60:8009/hls/4/index.m3u8
CCTV4,http://61.156.228.12:8154/tsfile/live/0004_1.m3u8
CCTV4,http://36.105.100.208:35455/gaoma/cctv4k.m3u8
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8
