🇨🇳央视频道,#genre#
CCTV1,http://39.135.133.8/wh7f454c46tw3037525421_1235359300/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8?icpid=88888888&RTS=1749480656&from=5&hms_devid=1256&online=1749480656&vqe=3
CCTV2,http://39.135.133.9/wh7f454c46tw3086144894_2141229093/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8?icpid=88888888&RTS=1749480704&from=5&hms_devid=1256&online=1749480704&vqe=3
CCTV2,http://39.135.135.77/wh7f454c46tw3099261113_673698799/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8?icpid=88888888&RTS=1749480717&from=5&hms_devid=692&prioritypopid=5&online=1749480717&vqe=3
CCTV3,http://39.135.133.4/wh7f454c46tw3115371591_1994443841/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8?icpid=88888888&RTS=1749480733&from=5&hms_devid=1255&online=1749480733&vqe=3
CCTV4,http://39.134.67.131/wh7f454c46tw3127744315_515241267/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8?icpid=88888888&RTS=1749480746&from=5&hms_devid=715&online=1749480746&vqe=3
CCTV5,http://39.135.133.5/wh7f454c46tw3265364202_-80762788/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8?icpid=88888888&RTS=1749480883&from=5&hms_devid=1255&online=1749480883&vqe=3
CCTV5+,http://39.135.133.9/wh7f454c46tw3275374631_-145497159/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8?icpid=88888888&RTS=1749480893&from=5&hms_devid=1256&online=1749480893&vqe=3
CCTV6,http://39.135.136.66/wh7f454c46tw3284589252_364588119/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8?icpid=88888888&RTS=1749480903&from=5&hms_devid=1140&online=1749480903&vqe=3
CCTV7,http://39.135.136.71/wh7f454c46tw3293371197_1600667279/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8?icpid=88888888&RTS=1749480911&from=5&hms_devid=1142&online=1749480911&vqe=3
CCTV8,http://39.134.67.146/wh7f454c46tw3301915697_-628017775/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8?icpid=88888888&RTS=1749480920&from=5&hms_devid=979&online=1749480920&vqe=3
CCTV9,http://39.135.133.5/wh7f454c46tw3313333004_-1421711104/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8?icpid=88888888&RTS=1749480931&from=5&hms_devid=1255&online=1749480931&vqe=3
CCTV10,http://39.135.133.9/wh7f454c46tw3323582005_-1006451075/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8?icpid=88888888&RTS=1749480942&from=5&hms_devid=1256&online=1749480942&vqe=3
CCTV11,http://39.135.133.4/wh7f454c46tw3333621676_-724171758/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8?icpid=88888888&RTS=1749480952&from=5&hms_devid=1255&online=1749480952&vqe=3
CCTV12,http://39.134.67.131/wh7f454c46tw3342207848_1980897628/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8?icpid=88888888&RTS=1749480960&from=5&hms_devid=715&online=1749480960&vqe=3
